source_street,target_street,distance
0,1,30.878
1,0,30.878
2,4,29.917
4,2,29.917
6,7,27.921
7,6,27.921
15,17,26.342
17,15,26.342
16,62,20.21
62,16,20.21
19,20,27.676
20,19,27.676
21,22,15.762
22,21,15.762
26,27,38.583
27,26,38.583
29,31,37.754000000000005
31,29,37.754000000000005
31,32,30.711
32,31,30.711
35,37,40.842999999999996
37,35,40.842999999999996
36,37,10.135
37,36,10.135
39,40,55.669999999999995
40,39,55.669999999999995
44,45,15.293
45,44,15.293
47,49,13.447
49,47,13.447
50,51,13.407
51,50,13.407
53,55,24.852999999999998
55,53,24.852999999999998
57,59,22.58
59,57,22.58
63,64,26.570999999999998
64,63,26.570999999999998
68,69,32.083787557903925
69,68,32.083787557903925
73,74,57.2
74,73,57.2
75,81,25.014
81,75,25.014
76,78,70.064
78,76,70.064
77,89,104.428
89,77,104.428
79,80,95.475
80,79,95.475
84,86,135.645
86,84,135.645
90,91,17.668
91,90,17.668
90,92,17.456
92,90,17.456
91,92,18.134
92,91,18.134
97,98,24.775
98,97,24.775
100,102,21.250999999999998
102,100,21.250999999999998
103,104,20.601
104,103,20.601
107,108,20.799
108,107,20.799
110,112,25.295
112,110,25.295
113,114,16.658
114,113,16.658
118,119,16.462
119,118,16.462
118,120,17.666
120,118,17.666
119,120,16.796
120,119,16.796
127,128,16.36
128,127,16.36
132,133,34.314
133,132,34.314
136,2177,64.322
2177,136,64.322
137,138,27.045
138,137,27.045
137,2180,25.252000000000002
2180,137,25.252000000000002
144,145,7.51
145,144,7.51
146,147,8.861
147,146,8.861
150,151,33.97
151,150,33.97
156,157,11.99
157,156,11.99
163,164,29.06
164,163,29.06
165,167,74.319
167,165,74.319
169,170,105.61099999999999
170,169,105.61099999999999
169,177,129.781
177,169,129.781
172,173,24.883
173,172,24.883
179,180,33.852000000000004
180,179,33.852000000000004
182,183,85.80699999999999
183,182,85.80699999999999
182,195,88.973
195,182,88.973
184,185,54.92359342089243
185,184,54.92359342089243
188,189,19.865000000000002
189,188,19.865000000000002
198,200,46.78526027799932
200,198,46.78526027799932
201,202,50.80143749707554
202,201,50.80143749707554
204,206,74.911
206,204,74.911
207,208,52.99945419789197
208,207,52.99945419789197
211,212,31.401000000000003
212,211,31.401000000000003
215,216,36.917
216,215,36.917
217,219,35.522
219,217,35.522
224,225,39.62090982963659
225,224,39.62090982963659
228,229,27.106
229,228,27.106
229,5681,22.554
5681,229,22.554
231,234,14.568999999999999
234,231,14.568999999999999
232,233,35.956
233,232,35.956
236,237,32.92621609673221
237,236,32.92621609673221
239,240,25.806
240,239,25.806
241,245,20.677999999999997
245,241,20.677999999999997
243,244,8.72
244,243,8.72
248,249,29.497999999999998
249,248,29.497999999999998
251,252,32.266
252,251,32.266
257,258,27.418
258,257,27.418
261,262,29.805
262,261,29.805
265,266,57.70162281148477
266,265,57.70162281148477
269,270,20.806
270,269,20.806
269,272,30.731
272,269,30.731
270,272,28.865000000000002
272,270,28.865000000000002
273,274,38.278999999999996
274,273,38.278999999999996
283,284,13.513
284,283,13.513
283,285,25.047
285,283,25.047
283,286,21.344
286,283,21.344
285,286,30.442999999999998
286,285,30.442999999999998
289,293,46.523
293,289,46.523
290,291,82.224
291,290,82.224
291,298,82.278
298,291,82.278
294,295,15.84
295,294,15.84
301,302,36.59939206802191
302,301,36.59939206802191
304,306,19.668999999999997
306,304,19.668999999999997
308,309,23.217
309,308,23.217
310,311,19.497
311,310,19.497
314,315,43.47
315,314,43.47
317,5012,42.97634122393279
5012,317,42.97634122393279
318,319,38.67
319,318,38.67
322,323,29.222535090169103
323,322,29.222535090169103
322,324,17.511
324,322,17.511
323,324,29.373535090169103
324,323,29.373535090169103
332,333,21.418
333,332,21.418
338,6708,6.742
6708,338,6.742
340,341,60.69799999999999
341,340,60.69799999999999
346,347,20.591
347,346,20.591
348,349,21.147
349,348,21.147
350,351,75.619
351,350,75.619
352,354,31.843
354,352,31.843
353,384,37.370000000000005
384,353,37.370000000000005
356,357,9.184000000000001
357,356,9.184000000000001
361,362,103.173
362,361,103.173
367,368,24.548000000000002
368,367,24.548000000000002
370,371,6.218
371,370,6.218
374,375,12.945
375,374,12.945
379,380,47.455
380,379,47.455
387,388,20.547
388,387,20.547
388,5224,27.502
5224,388,27.502
389,391,19.226
391,389,19.226
393,394,43.79657141730013
394,393,43.79657141730013
400,401,26.709
401,400,26.709
400,402,30.164
402,400,30.164
401,402,28.378999999999998
402,401,28.378999999999998
405,406,29.794
406,405,29.794
412,414,13.879
414,412,13.879
418,419,12.792
419,418,12.792
418,420,11.861
420,418,11.861
419,420,12.471
420,419,12.471
422,425,19.517825173080436
425,422,19.517825173080436
426,427,15.017000000000001
427,426,15.017000000000001
428,429,4.441
429,428,4.441
432,433,85.3906652997477
433,432,85.3906652997477
435,437,26.853
437,435,26.853
440,441,26.116
441,440,26.116
444,445,18.451
445,444,18.451
446,447,25.978
447,446,25.978
454,455,74.2831735820724
455,454,74.2831735820724
456,457,26.217
457,456,26.217
456,458,26.239
458,456,26.239
457,458,25.798000000000002
458,457,25.798000000000002
463,7980,32.994
7980,463,32.994
464,465,29.252
465,464,29.252
471,472,25.744
472,471,25.744
475,477,18.261
477,475,18.261
487,488,9.759
488,487,9.759
489,490,29.832
490,489,29.832
492,500,21.397533104088666
500,492,21.397533104088666
497,498,37.207
498,497,37.207
501,5126,31.559
5126,501,31.559
503,504,21.463
504,503,21.463
506,507,19.765
507,506,19.765
506,5094,20.261
5094,506,20.261
508,509,22.217
509,508,22.217
508,5057,20.121000000000002
5057,508,20.121000000000002
511,512,20.233
512,511,20.233
512,513,18.989
513,512,18.989
523,524,52.653999999999996
524,523,52.653999999999996
525,526,15.903
526,525,15.903
526,527,15.857
527,526,15.857
528,5256,9.878
5256,528,9.878
532,533,23.05
533,532,23.05
536,537,22.701
537,536,22.701
538,539,18.935
539,538,18.935
539,5436,22.788
5436,539,22.788
541,545,18.582
545,541,18.582
542,543,13.719999999999999
543,542,13.719999999999999
543,5481,15.693
5481,543,15.693
544,545,14.945
545,544,14.945
547,548,39.104
548,547,39.104
551,4683,107.46220104096231
4683,551,107.46220104096231
554,556,66.062
556,554,66.062
557,558,11.678
558,557,11.678
557,7946,10.607
7946,557,10.607
562,563,44.864999999999995
563,562,44.864999999999995
562,564,14.548
564,562,14.548
563,564,43.367
564,563,43.367
570,571,12.658000000000001
571,570,12.658000000000001
571,5732,16.488
5732,571,16.488
575,576,60.973
576,575,60.973
579,580,37.596000000000004
580,579,37.596000000000004
584,585,116.051
585,584,116.051
596,598,48.659000000000006
598,596,48.659000000000006
599,600,11.422
600,599,11.422
601,602,16.22
602,601,16.22
603,604,16.669999999999998
604,603,16.669999999999998
607,608,13.414000000000001
608,607,13.414000000000001
614,618,25.448
