street_id,source,target,street_name,street_length,amenity,Average_POI_Distance,shop,restaurant,healthcare,clothes,school
624129112,25769228,3797573321,Upper Queen Street,17.509,0.0,17.509,0.0,0.0,0.0,0.0,0.0
731599981,25769228,3068087649,Alex Evans Street,13.369,0.0,13.369,0.0,0.0,0.0,0.0,0.0
123998327,4961470807,25769228,Upper Queen Street,9.938,0.0,9.938,0.0,0.0,0.0,0.0,0.0
624129112,3797573321,265813402,Upper Queen Street,7.678,0.0,7.678,0.0,0.0,0.0,0.0,0.0
624129114,2978330161,25769228,Ian McKinnon Drive,19.979,0.0,19.979,0.0,0.0,0.0,0.0,0.0
624129111,3068087649,8423815164,Alex Evans Street,3.438,0.0,3.438,0.0,0.0,0.0,0.0,0.0
4279266,25769232,9449856247,Saint Benedicts Street,6.665,0.0,6.665,0.0,0.0,0.0,0.0,0.0
624129110,25769232,5893526135,Alex Evans Street,21.256,0.0,21.256,0.0,0.0,0.0,0.0,0.0
4279266,9449856247,9449856249,Saint Benedicts Street,2.449,0.0,2.449,0.0,0.0,0.0,0.0,0.0
7634384,5893526135,5548445064,Alex Evans Street,9.291,0.0,9.291,0.0,0.0,0.0,0.0,0.0
624129111,6816585050,25769232,Alex Evans Street,33.813,0.0,33.813,0.0,0.0,0.0,0.0,0.0
4279266,25769233,2755112125,Saint Benedicts Street,5.533,0.0,5.533,0.0,0.0,0.0,0.0,0.0
4279266,2755112125,5118454060,Saint Benedicts Street,42.168,0.0,42.168,0.0,0.0,0.0,0.0,0.0
4279266,4694875543,25769233,Saint Benedicts Street,3.334,0.0,3.334,0.0,0.0,0.0,0.0,0.0
624129098,25769234,5236072712,Newton Road,36.953,0.0,36.953,0.0,0.0,0.0,0.0,0.0
4279266,3383747261,25769234,Saint Benedicts Street,8.845,0.0,8.845,0.0,0.0,0.0,0.0,0.0
624129098,5236072712,25769260,Newton Road,12.333,0.0,12.333,0.0,0.0,0.0,0.0,0.0
624129098,5893526131,25769234,Newton Road,17.497,0.0,17.497,0.0,0.0,0.0,0.0,0.0
624129097,25769235,5893526131,Newton Road,9.802,0.0,9.802,0.0,0.0,0.0,0.0,0.0
32776244,8011528811,25769235,Dundonald Street,7.383,0.0,7.383,0.0,0.0,0.0,0.0,0.0
624129097,2755141277,25769235,Newton Road,20.293,0.0,20.293,0.0,0.0,0.0,0.0,0.0
24457649,25769236,4330791481,Symonds Street,4.329,0.0,4.329,0.0,0.0,0.0,0.0,0.0
671996834,25769236,6235638721,Symonds Street,11.433,0.0,11.433,0.0,0.0,0.0,0.0,0.0
24457649,4330791481,5893526132,Symonds Street,6.726,0.0,6.726,0.0,0.0,0.0,0.0,0.0
671996834,6235638721,9422236243,Symonds Street,3.925,0.0,3.925,0.0,0.0,0.0,0.0,0.0
682351908,9422236244,25769236,Symonds Street,10.811,0.0,10.811,0.0,0.0,0.0,0.0,0.0
4279264,4412564553,4412564552,Hohipere Street,13.008,0.0,13.008,0.0,0.0,0.0,0.0,0.0
443699111,4412564553,25769238,Hohipere Street,25.575,0.0,25.575,0.0,0.0,0.0,0.0,0.0
37559107,25769240,1361088854,Symonds Street,10.157,0.0,10.157,0.0,0.0,0.0,0.0,0.0
4279263,3383747240,25769240,Glenside Crescent,11.053,0.0,11.053,0.0,0.0,0.0,0.0,0.0
37559107,1361088854,4324696571,Symonds Street,25.409,0.0,25.409,0.0,0.0,0.0,0.0,0.0
37559107,3383747233,25769240,Symonds Street,26.701,0.0,26.701,0.0,0.0,0.0,0.0,0.0
331313976,3383747233,3383747235,Glenside Crescent,4.01,0.0,4.01,0.0,0.0,0.0,0.0,0.0
331313975,25769252,25769253,Glenside Crescent,37.923,0.0,37.923,0.0,0.0,0.0,0.0,0.0
331313975,25769253,1418834157,Glenside Crescent,3.549,1.0,10.919247064561366,0.0,0.0,0.0,0.0,0.0
331313975,4286908511,25769252,Glenside Crescent,36.19,0.0,36.19,0.0,0.0,0.0,0.0,0.0
128366990,1418834140,9442441247,Greenwich Place,5.482,0.0,5.482,0.0,0.0,0.0,0.0,0.0
331313975,1418834140,25769252,Glenside Crescent,4.653,0.0,4.653,0.0,0.0,0.0,0.0,0.0
331313975,1418834157,1418834163,Glenside Crescent,3.03,0.0,3.03,0.0,0.0,0.0,0.0,0.0
4290891,25769254,3383747234,Dacre Street,7.172,0.0,7.172,0.0,0.0,0.0,0.0,0.0
